City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,codrington,-38.2667,141.9667,15.990000000000009,94,100,2.26,AU,1674493524
242,cockburn town,21.4612,-71.1419,25.400000000000034,77,9,7.92,TC,1674493524
243,opuwo,-18.0607,13.84,21.27000000000004,78,100,5.42,NA,1674493525
244,mizque,-17.941,-65.3402,26.100000000000023,45,100,3.6,BO,1674493525
245,ahtopol,42.1,27.95,7.550000000000011,76,100,5.19,BG,1674493526
246,kenai,60.5544,-151.2583,-3.2799999999999727,84,100,2.57,US,1674493527
247,hasaki,35.7333,140.8333,3.4500000000000455,79,100,5.64,JP,1674493372
248,bunschoten,52.2333,5.3667,4.010000000000048,87,94,2.71,NL,1674493528
249,saldanha,-33.0117,17.9442,19.260000000000048,74,7,5.09,ZA,1674493528
250,hailey,43.5196,-114.3153,-9.079999999999984,67,0,3.09,US,1674493529
251,castlegar,49.2998,-117.6689,-3.339999999999975,94,100,0.4,CA,1674493530
252,beringovskiy,63.05,179.3167,-22.269999999999982,95,100,7.25,RU,1674493530
253,riyadh,24.6877,46.7219,17.08000000000004,51,60,3.13,SA,1674492985
254,hovd,48.0056,91.6419,-23.139999999999986,85,79,0.76,MN,1674493531
255,gorontalo,0.5412,123.0595,23.810000000000002,94,99,1.37,ID,1674493531
256,koslan,63.4564,48.8989,-10.529999999999973,93,40,3.58,RU,1674493532
257,swansea,51.6208,-3.9432,5.930000000000007,85,97,2.06,GB,1674493533
258,taiobeiras,-15.8078,-42.2331,25.220000000000027,76,97,1.55,BR,1674493533
259,amposta,40.7131,0.581,6.7900000000000205,52,90,1.04,ES,1674493534
260,koltsovo,54.9376,83.1825,-11.339999999999975,96,100,3.14,RU,1674493376
261,coquimbo,-29.9533,-71.3436,21.850000000000023,64,20,5.14,CL,1674493535
262,fez,34.0372,-4.9998,12.140000000000043,71,75,3.09,MA,1674493298
263,coihaique,-45.5752,-72.0662,22.340000000000032,43,75,2.06,CL,1674493536
264,banda aceh,5.5577,95.3222,24.840000000000032,82,77,2.73,ID,1674493538
265,zeya,53.75,127.2667,-33.96999999999997,94,97,1.4,RU,1674493540
266,murray bridge,-35.1167,139.2667,16.180000000000007,89,91,0.52,AU,1674493284
267,ostrovnoy,68.0531,39.5131,-5.759999999999991,85,100,14.28,RU,1674493540
268,guerrero negro,27.9769,-114.0611,13.360000000000014,68,99,2.02,MX,1674493541
269,chaman,30.9236,66.4512,1.5100000000000477,64,5,1.01,PK,1674493541
270,mahina,-17.5065,-149.489,24.870000000000005,73,75,2.57,PF,1674493543
271,sitka,57.0531,-135.33,6.939999999999998,81,75,4.63,US,1674493543
272,vallenar,-28.5708,-70.7581,30.02000000000004,27,0,4.66,CL,1674493544
273,port blair,11.6667,92.75,24.900000000000034,66,26,4.0,IN,1674493544
274,navrongo,10.8956,-1.0921,36.81,10,63,2.09,GH,1674493545
275,san patricio,28.017,-97.5169,17.05000000000001,45,7,8.15,US,1674493545
276,tautira,-17.7333,-149.15,23.930000000000007,84,100,1.6,PF,1674493546
277,matara,5.9485,80.5353,24.100000000000023,89,91,3.94,LK,1674493546
278,vanavara,60.34,102.2797,-33.889999999999986,96,100,1.54,RU,1674493547
279,lingao,19.9103,109.6859,19.090000000000032,86,100,5.77,CN,1674493548
280,college,64.8569,-147.8028,-22.44999999999999,76,100,0.0,US,1674493548
281,bethel,41.3712,-73.414,3.4399999999999977,85,100,2.57,US,1674493549
282,taloqan,36.7361,69.5345,-2.329999999999984,89,99,0.4,AF,1674493550
283,naryan-mar,67.6713,53.087,-6.3700000000000045,81,100,8.69,RU,1674493550
284,kirkwall,58.9848,-2.9587,9.980000000000018,87,100,5.14,GB,1674493552
285,krasnyy chikoy,50.3643,108.7512,-37.51999999999998,99,23,1.01,RU,1674493552
286,kazachinskoye,57.6953,93.2761,-18.049999999999983,99,100,1.22,RU,1674493552
287,takoradi,4.8845,-1.7554,28.79000000000002,71,52,4.89,GH,1674493297
288,krasnoborsk,61.5598,45.934,-12.849999999999966,96,55,2.26,RU,1674493553
289,jackson,42.4165,-122.8345,2.25,98,100,1.54,US,1674493554
290,ocampo,21.65,-101.5,16.80000000000001,29,10,5.26,MX,1674493554
291,kiama,-34.6833,150.8667,18.33000000000004,88,59,1.52,AU,1674493555
292,palmer,42.1584,-72.3287,2.2200000000000273,87,100,9.26,US,1674493363
293,marang,5.2056,103.2059,24.379999999999995,90,100,1.81,MY,1674493512
294,shimoda,34.6667,138.95,5.610000000000014,76,100,3.36,JP,1674493295
295,asfi,32.2994,-9.2372,16.05000000000001,58,0,9.05,MA,1674493558
296,deputatskiy,69.3,139.9,-33.76999999999998,100,90,0.76,RU,1674493558
297,corowa,-36.0333,146.3833,14.670000000000016,87,67,2.36,AU,1674493456
298,naze,28.3667,129.4833,15.180000000000007,72,93,6.05,JP,1674493560
299,solnechnyy,50.7214,136.6319,-32.599999999999966,99,99,0.8,RU,1674493560
300,springbok,-29.6643,17.8865,21.28000000000003,38,0,8.07,ZA,1674493562
301,poum,-20.2333,164.0167,26.660000000000025,81,98,3.09,NC,1674493563
302,nelson bay,-32.7167,152.15,21.110000000000014,98,53,1.34,AU,1674493475
303,walvis bay,-22.9575,14.5053,20.939999999999998,71,31,7.32,NA,1674493564
304,howard springs,-12.497,131.047,25.950000000000045,83,100,2.58,AU,1674493564
305,nanortalik,60.1432,-45.2371,-2.079999999999984,63,100,2.53,GL,1674493565
306,calama,-22.4667,-68.9333,22.27000000000004,37,0,10.29,CL,1674493565
307,jardim,-21.4803,-56.1381,30.350000000000023,61,99,0.59,BR,1674493566
308,thanatpin,17.2119,96.3033,25.100000000000023,28,1,2.24,MM,1674493567
309,tiarei,-17.5333,-149.3333,25.010000000000048,79,100,2.53,PF,1674493568
310,chapais,49.7834,-74.8492,-6.1200000000000045,89,100,2.71,CA,1674493568
311,kavaratti,10.5669,72.642,26.53000000000003,75,18,6.37,IN,1674493569
312,la ronge,55.1001,-105.2842,-17.529999999999973,94,100,1.05,CA,1674493569
313,la brea,15.8,-85.9667,29.439999999999998,45,5,1.24,HN,1674493570
314,kaduqli,11.0167,29.7167,27.450000000000045,13,66,3.55,SD,1674493570
315,mitha tiwana,32.2486,72.1108,10.350000000000023,44,0,3.35,PK,1674493571
316,teguldet,57.3064,88.1667,-15.069999999999993,98,100,1.57,RU,1674493571
317,bubaque,11.2833,-15.8333,23.390000000000043,71,3,6.22,GW,1674493572
318,acarau,-2.8856,-40.12,28.910000000000025,65,83,5.56,BR,1674493572
319,vryburg,-26.9566,24.7284,30.860000000000014,18,79,2.02,ZA,1674493407
320,tuatapere,-46.1333,167.6833,6.57000000000005,88,23,1.23,NZ,1674493573
321,anadyr,64.75,177.4833,-23.379999999999967,82,100,2.95,RU,1674493574
322,alugan,12.2188,125.4808,25.970000000000027,84,87,6.48,PH,1674493575
323,port hueneme,34.1478,-119.1951,14.210000000000036,36,0,4.12,US,1674493575
324,zlynka,52.4267,31.7378,-1.3799999999999955,73,7,2.6,RU,1674493576
325,tabuk,17.4189,121.4443,21.120000000000005,88,74,1.1,PH,1674493576
326,kumphawapi,17.1087,103.0149,23.27000000000004,99,92,2.12,TH,1674493576
327,auki,-8.7676,160.7034,24.370000000000005,89,100,1.37,SB,1674493578
328,salalah,17.0151,54.0924,24.05000000000001,60,75,4.63,OM,1674493578
